ExpressId,GlobalId,IfcClass,Family,Type,Level,Material:Name,Material:Description,Material:Area,Material:Volume
207443,320Xe4F7TArOk3qvw5s12f,IfcSlab,Floor,Tile (1200mm x 600mm),First Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1604.9374255555133,19.259249106666992
207628,320Xe4F7TArOk3qvw5s0Bl,IfcSlab,Floor,Tile (1200mm x 600mm),First Floor,Tile,Flooring finished with 12mm thick ceramic tiles,509.80576622224004,6.117669194667147
207742,3AL1L8IJLC7Rmg6c74N44K,IfcSlab,Floor,Tile (1200mm x 600mm),First Floor,Tile,Flooring finished with 12mm thick ceramic tiles,103.82557338703015,1.2459068806444165
207822,3AL1L8IJLC7Rmg6c74MwwR,IfcSlab,Floor,Tile (1200mm x 600mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1430.0708211111087,17.160849853333282
208110,3AL1L8IJLC7Rmg6c74Mwqb,IfcSlab,Floor,Tile (1200mm x 600mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,701.1957564444509,8.41434907733339
208217,3AL1L8IJLC7Rmg6c74MwtW,IfcSlab,Floor,Tile (1200mm x 600mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,122.64368005369502,1.4717241606443396
208343,3ndJx5uTH1Kw82iITrjvFg,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.8026666666666744,0.00963199999999964
208415,3ndJx5uTH1Kw82iITrjvFc,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.2472666666666665,0.014967200000001998
208473,3ndJx5uTH1Kw82iITrjvFY,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.0390666666666581,0.012468800000001562
208531,3ndJx5uTH1Kw82iITrjvF_,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.2460666666666673,0.014952800000002006
208589,3ndJx5uTH1Kw82iITrjvFw,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9176000000000033,0.01101120000000151
208647,3ndJx5uTH1Kw82iITrjvFs,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.3469333333333389,0.016163200000002223
208705,3ndJx5uTH1Kw82iITrjvFo,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.3316666666666636,0.003980000000000494
