ExpressId,GlobalId,Family,Type,Level,Material:Name,Material:Description,Volume,Material:Volume
50274,1EWvDSs_13VfoJiSGwLNwm,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
50359,1EWvDSs_13VfoJiSGwLMAZ,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
50421,1EWvDSs_13VfoJiSGwLMA9,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
50483,1EWvDSs_13VfoJiSGwLM8J,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000003,0.6417000000000003
50545,1naJBYN8vFgexRUQE942QH,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
50607,1naJBYN8vFgexRUQE942QB,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
50669,1naJBYN8vFgexRUQE942Q7,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
50731,1naJBYN8vFgexRUQE942Rr,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
50793,1naJBYN8vFgexRUQE942Rl,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
50855,1naJBYN8vFgexRUQE942RP,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999995,0.6416999999999995
