ExpressId,GlobalId,Family,Type,Base Constraint,Length,Width,Material:Name,Material:Description,Material:Area,Material:Volume
20973,3DyZvwHI59ZButpjZX5loq,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,10656.666666666579,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,41.88099999999966,9.632629999999908
21120,3DyZvwHI59ZButpjZX5ltC,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,17250.000000000007,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,50.85000000000001,11.695499999999983
21315,3DyZvwHI59ZButpjZX5l$1,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,41170.00000000015,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,132.47700000000077,30.469710000000124
21382,3DyZvwHI59ZButpjZX5k2J,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,10656.666666666626,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,41.88099999999968,9.632629999999912
21469,3DyZvwHI59ZButpjZX5k3K,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,17249.999999999975,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,50.84999999999983,11.695499999999944
21574,3DyZvwHI59ZButpjZX5k1n,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,1226.6666666667084,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,2.2165000000007447,0.5097950000001691
21632,3DyZvwHI59ZButpjZX5k6h,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,6363.33333333332,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,26.101999999999922,6.003459999999975
21731,3DyZvwHI59ZButpjZX5k4N,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,21849.999999999953,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,69.74249999999975,16.040774999999922
21788,3DyZvwHI59ZButpjZX5k4f,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,3066.6666666667425,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,14.260000000000352,3.2798000000000767
21917,3DyZvwHI59ZButpjZX5kAg,Basic Wall,W-Main Brick Wall (230mm X 115mm X 75mm),Ground Floor,40633.33333333336,230.00000000000003,Burnt Brick (230mm X 115mm X 75mm),Common Burnt Brick of size 230mm X 115mm X 75mm,130.27550000000014,29.963364999999996
